species.code,habit,duration_final,no.pts,bin1o,bin2o,bin3o,max.vars.5epv
AEPO,forb_herb,Perennial,109,18,56,35,3
AIAL,tree,Perennial,1277,393,563,321,64
ALJU,tree,Perennial,1668,719,655,294,58
ALPE4,forb_herb,Biennial,1423,427,661,335,67
ARDO4,MULTIPLE,Perennial,228,56,100,72,11
ARMI2,forb_herb,Biennial,224,71,79,74,14
BEIN2,forb_herb,Biennial,437,42,270,125,8
BETH,shrub_subshrub,Perennial,1041,564,388,89,17
BRPA4,tree,Perennial,192,60,94,38,7
CADR,forb_herb,Perennial,1837,309,1107,421,61
CAGL11,tree,Perennial,51,19,10,22,2
CEDI3,forb_herb,Annual,670,46,533,91,9
CEOR7,vine,Perennial,1171,402,553,216,43
CHMA2,forb_herb,Biennial,106,39,56,11,2
CYLO11,vine,Perennial,141,43,69,29,5
CYOF,forb_herb,Biennial,1286,185,940,161,32
CYSC4,shrub_subshrub,Perennial,159,24,121,14,2
DIBU,vine,Perennial,587,221,260,106,21
DIOP,vine,Perennial,69,28,26,15,3
ELAN,MULTIPLE,Perennial,879,229,426,224,44
ELUM,shrub_subshrub,Perennial,1449,614,555,280,56
EUAL13,shrub_subshrub,Perennial,432,235,166,31,6
EUES,forb_herb,Perennial,2015,290,1246,479,58
FRAL4,MULTIPLE,Perennial,625,276,258,91,18
HEFU,forb_herb,Perennial,87,16,50,21,3
HEMA3,forb_herb,Perennial,167,73,77,17,3
HYPE,forb_herb,Perennial,317,145,130,42,8
IMCY,grass,Perennial,1414,371,675,368,73
IRPS,MULTIPLE,Perennial,208,79,78,51,10
ISTI,forb_herb,Perennial,593,121,393,79,15
LECU,shrub_subshrub,Perennial,720,193,238,289,38
LELE10,tree,Perennial,257,149,97,11,2
LISI,shrub_subshrub,Perennial,1143,372,595,176,35
LIVU2,forb_herb,Perennial,764,83,528,153,16
LOCO6,forb_herb,Perennial,1056,94,294,668,18
LOMA6,shrub_subshrub,Perennial,234,102,76,56,11
LOMO2,shrub_subshrub,Perennial,582,249,228,105,21
LUPE6,forb_herb,Perennial,429,162,234,33,6
LYJA,vine,Perennial,1105,596,454,55,11
LYMI,vine,Perennial,624,302,253,69,13
LYSA2,MULTIPLE,Perennial,1291,557,528,206,41
MEAZ,tree,Perennial,1096,442,539,115,23
MIVI,grass,Annual,875,115,422,338,23
NERE,grass,Perennial,127,78,36,13,2
ONAC,forb_herb,Biennial,2228,406,1577,245,49
PARE3,grass,Perennial,772,173,413,186,34
PATO2,tree,Perennial,229,111,100,18,3
PHAU8,grass,Perennial,244,19,74,151,3
PHPR3,grass,Perennial,88,55,19,14,2
PISY,tree,Perennial,70,18,36,16,3
POCU6,MULTIPLE,Perennial,2133,332,843,958,66
PUMOL,vine,Perennial,1730,112,363,1255,22
PYCA80,tree,Perennial,563,193,262,108,21
RAFI,forb_herb,Perennial,77,19,34,24,3
RHCA3,MULTIPLE,Perennial,1253,465,475,313,62
ROMU,MULTIPLE,Perennial,2057,879,822,356,71
RUAR9,shrub_subshrub,Perennial,65,27,21,17,3
SCTE,tree,Perennial,1489,639,646,204,40
SEPU7,shrub_subshrub,Perennial,197,120,67,10,2
SEVA4,forb_herb,Perennial,497,76,183,238,15
SOHA,grass,Perennial,334,97,169,68,13
TARA,tree,Perennial,1689,333,938,418,66
TAVU,forb_herb,Perennial,2011,664,941,406,81
TRSE6,tree,Perennial,1210,585,393,232,46
TRTE,MULTIPLE,Annual,389,44,306,39,7
TUFA,forb_herb,Perennial,224,63,141,20,4
URMU,grass,Perennial,221,32,109,80,6
VEFO,tree,Perennial,94,40,33,21,4
VETH,forb_herb,Biennial,871,357,455,59,11
VIMI2,forb_herb,Perennial,130,30,34,66,6
ABPR3,vine,Perennial,325,172,142,11,2
ACGI,tree,Perennial,173,96,52,25,5
ACJA,forb_herb,Perennial,138,57,61,20,4
ACPL,tree,Perennial,246,109,117,20,4
ACRE3,forb_herb,Perennial,1471,131,1024,316,26
ALMA12,shrub_subshrub,Perennial,206,12,148,46,2
AMBR7,vine,Perennial,76,36,26,14,2
ANSY,forb_herb,Biennial,150,102,36,12,2
ARHI3,grass,Annual,65,18,37,10,2
ARVU,forb_herb,Perennial,50,12,22,16,2
BRTE,grass,Annual,3495,976,1397,1122,195
CAAC,forb_herb,Biennial,412,216,133,63,12
CAAR18,shrub_subshrub,Perennial,323,73,155,95,14
CAEQ,tree,Perennial,287,155,84,48,9
CANU4,forb_herb,Biennial,2754,522,1773,459,91
CESO3,forb_herb,Annual,218,36,164,18,3
CESTM,forb_herb,Perennial,4446,696,2804,946,139
CEVI,forb_herb,Perennial,533,365,131,37,7
CHJU,forb_herb,Perennial,1229,51,976,202,10
CIAR4,forb_herb,Perennial,6836,1706,3561,1569,313
CICA,tree,Perennial,573,309,250,14,2
CIVU,forb_herb,Biennial,1541,631,685,225,45
COAR4,vine,Perennial,1264,228,802,234,45
COES,forb_herb,Perennial,374,143,182,49,9
COMA2,forb_herb,Biennial,728,163,395,170,32
CYDA,grass,Perennial,260,24,221,15,3
DACA6,forb_herb,Biennial,130,71,37,22,4
DAGL,grass,Perennial,135,80,37,18,3
DIFU2,forb_herb,Biennial,497,153,243,101,20
DILA4,forb_herb,Biennial,120,44,44,32,6
ECVU,forb_herb,Perennial,175,52,106,17,3
ELPU2,shrub_subshrub,Perennial,133,67,52,14,2
ELRE4,grass,Perennial,146,90,34,22,4
EPPI,vine,Perennial,73,37,26,10,2
ERCI6,forb_herb,Biennial,528,122,371,35,7
EUCY2,forb_herb,Perennial,107,14,57,36,2
EUFO5,vine,Perennial,115,48,39,28,5
EUMY2,forb_herb,Perennial,62,14,22,26,2
GLHE2,forb_herb,Perennial,245,44,146,55,8
HAGL,forb_herb,Annual,616,240,239,137,27
HEHE,vine,Perennial,351,89,165,97,17
HIAU,forb_herb,Perennial,468,72,171,225,14
HUJA,vine,Annual,113,30,55,28,5
HYNI,forb_herb,Annual,645,57,521,67,11
